ID,유형,단어,설명
1,현실형,실용적,쓸모 있는 것을 좋아한다.
2,현실형,정확성,일을 정확하고 세밀하게 한다.
3,현실형,현장중심,현장에서 일하는 것을 좋아한다.
4,현실형,손재주,손을 이용해 무엇인가를 만드는 것을 좋아한다.
5,현실형,"전기, 기계",전기나 기계와 관련된 일을 잘한다.
6,탐구형,분석적,문제를 분석하고 해결 방법을 찾는 것을 좋아한다.
7,탐구형,학구적,배우는 것을 좋아하고 지식에 관심이 많다.
8,탐구형,독립적,혼자서도 잘 생각하고 행동한다.
9,탐구형,탐구적,깊이 있게 생각하고 연구하는 것을 좋아한다.
10,탐구형,비판적,문제점을 잘 찾아내고 개선하려고 한다.
11,예술형,창의적,아이디어를 떠올리는 것
12,예술형,변화추구,변화와 다양성을 좋아한다.
13,예술형,독창적,다른 사람과 다르게 표현하는 것을 좋아한다.
14,예술형,개방적,새로운 것에 대해 열려 있다.
15,예술형,예술적,"미술, 음악, 문학 등 예술적인 것에 관심이 많다."
16,사회형,협력적,다른 사람들과 함께 일하는 것을 좋아한다.
17,사회형,이타적,다른 사람을 돕고자 하는 마음이 크다.
18,사회형,인내심,어려움이 있어도 참고 견디는 것을 좋아한다.
19,사회형,공감능력,다른 사람의 마음을 잘 이해하고 공감한다.
20,사회형,배려심,다른 사람을 잘 챙기고 도와주는 것을 좋아한다.
21,진취형,설득력,다른 사람을 잘 설득할 수 있다.
22,진취형,외향적,사람들과 어울리는 것을 좋아한다.
23,진취형,열정적,무언가에 열정적으로 참여하고 몰두하는 것을 좋아한다.
24,진취형,목표지향,목표를 세우고 그것을 이루기 위해 노력하는 것을 좋아한다.
25,진취형,추진력,일을 밀고 나가는 힘이 강하다.
26,관습형,계획적,미리 계획을 세우고 그에 따라 행동하는 것을 좋아한다.
27,관습형,규칙준수,규칙을 잘 지키고 질서를 중시한다.
28,관습형,체계적,"일을 체계적으로, 정돈된 방식으로 처리하는 것을 좋아한다."
29,관습형,사무적,사무와 관련된 일을 잘한다.
30,관습형,절차중심,정해진 절차를 중요하게 생각하고 따른다.
